Tiêu đề,Người viết,Ngày hiển thị,CDN đối thủ,Nguồn gốc (suy được)
"Cấu hình chơi PUBG - PlayerUnknown’s Battlegrounds trên PC, Laptop",Khang,2024-08-23,Hoàng Hà,https://hoanghamobile.com/tin-tuc/pubg/pubg-2/
"Cách chọn mua màn hình máy tính tốt, bền đẹp và phù hợp nhu cầu",Khang,2024-08-29,TGDĐ,https://www.dienmayxanh.com/kinh-nghiem-hay/do-phan-giai-man-hinh-la-gi-594493
Sự khác nhau ổ cứng SSD và HDD,Khang,2024-08-29,TGDĐ,tgdd/dienmayxanh — bài ID 1205008
4 cách khắc phục lỗi màn hình đen trong Windows 11,Khang,2024-09-12,FPT Shop,fptshop.com.vn — bài ID 152427
So sánh tản nhiệt nước và tản nhiệt khí: Nên lựa chọn bộ tản nhiệt nào?,Khang,2024-09-12,FPT Shop,fptshop.com.vn — bài ID 147944
Cấu hình tối thiểu chơi Liên Minh Huyền Thoại LOL mượt giá sinh viên,Thành,2024-07-10,TGDĐ,tgdd/dienmayxanh — bài ID 1554396
"Cấu hình chơi CS2 - Counter Strike 2 trên PC, Laptop",Khang,2024-08-23,An Phát,(không suy được URL chính xác — chỉ biết CDN)
"Cấu hình chơi Apex Legends trên PC, Laptop",Khang,2024-08-23,TGDĐ,(không suy được URL chính xác — chỉ biết CDN)
"Cấu hình chơi GTA 5 - Grand Theft Auto V trên PC, Laptop",Khang,2024-08-23,FPT Shop,fptshop.com.vn — bài ID 178680
"Cấu hình chơi Palworld Trên PC, Laptop",Khang,2024-08-23,FPT Shop,fptshop.com.vn — bài ID 172790
"Cấu hình chơi FIFA Online 4 Trên PC, Laptop",Khang,2024-08-23,CellphoneS,cellphones.com.vn — ảnh: .../cau-hinh-choi-fifa-online-4-2
"Cấu hình chơi Elden Ring Trên PC, Laptop",Khang,2024-08-23,HACOM,hacom.vn — ảnh: .../cau-hinh-choi-elden-ring
"Cấu hình chơi Valorant Trên PC, Laptop",Khang,2024-08-23,HACOM,hacom.vn — ảnh: .../cuhnhchivalorantpc
"Cấu hình chơi Genshin Impact Trên PC, Laptop",Khang,2024-08-26,FPT Shop,fptshop.com.vn — bài ID 178916
Top màn hình máy tính để bàn giá rẻ năm 2024,Khang,2024-08-27,Phong Vũ,phongvu.vn — ảnh: .../man-hinh-may-tinh-van-phong-4
4 cách khắc phục lỗi màn hình xanh 'chết chóc' trên Windows 11,Khang,2024-09-12,FPT Shop,fptshop.com.vn — bài ID 152496
Lỗi 404 Not Found là gì? 9 cách khắc phục lỗi 404 Not Found hiệu quả,Khang,2024-09-12,TGDĐ,(không suy được URL chính xác — chỉ biết CDN)
"ROG và TUF, laptop nào của ASUS phù hợp với bạn?",Khang,2024-09-12,TGDĐ,(không suy được URL chính xác — chỉ biết CDN)
"Tổng hợp, tìm hiểu các kích thước bàn phím cơ trên thị trường hiện nay",Khang,2024-09-12,FPT Shop,fptshop.com.vn — bài ID 148426
"Hướng dẫn 2 cách xóa chữ, logo, watermark trên ảnh bằng Photoshop cực nhanh chóng và đơn giản",Khang,2024-09-19,TGDĐ,(không suy được URL chính xác — chỉ biết CDN)
Hướng dẫn lựa chọn tản nhiệt nước All in one phù hợp,Khang,2024-09-19,FPT Shop,fptshop.com.vn — bài ID 145024
Arm màn hình là gì? Có nên đầu tư thiết bị này cho bàn làm việc hoặc góc gaming?,Khang,2024-09-19,FPT Shop,fptshop.com.vn — bài ID 182098
Visual Studio Code là gì? Các tính năng nổi bật của Visual Studio Code,Khang,2024-09-23,FPT Shop,fptshop.com.vn — bài ID 146213
Tìm hiểu về ép xung: Phương pháp tăng tốc độ và sức mạnh của PC có thật sự an toàn và hiệu quả?,Khang,2024-09-23,TGDĐ,tgdd/dienmayxanh — bài ID 1355318
"Sửa Máy Tính Quận 2 Chất Lượng, Nhanh Chóng tại Sintech",Lân,2025-01-23,FPT Shop,(không suy được URL chính xác — chỉ biết CDN)
Top 10 Sai Lầm Khi Build PC Mà Ai Cũng Dễ Mắc Phải,Phương Nam,2025-07-29,Di Động Việt; FPT Shop; HACOM; TGDĐ,didongviet.vn — ảnh: .../cpu-didongviet-cover
"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",Phương Nam,2025-08-07,CellphoneS; Hoàng Hà; TGDĐ,cellphones.com.vn — ảnh: .../gta-5-thumb
Cách Build PC Gaming Chuẩn – Từ Game Nhẹ Đến Max Setting AAA,Phương Nam,2025-08-10,Phúc Anh; TGDĐ,tgdd/dienmayxanh — bài ID 1554396
