roadmap_id,meta_old,len_old,meta_new,len_new
BLG-001,"Tìm hiểu Build PC online là gì, cách tự chọn CPU, VGA, RAM, SSD, nguồn, case và xuất báo giá nhanh tại Sintech.",111,"Tìm hiểu Build PC online là gì, cách tự chọn CPU, VGA, RAM, SSD, nguồn và case rồi xuất báo giá nhanh. Trải nghiệm công cụ Build PC online miễn phí, tư vấn tại Sintech.",168
BLG-002,"Hướng dẫn xây dựng cấu hình PC theo nhu cầu gaming, đồ họa, AI, văn phòng; biết cách chọn CPU, VGA, RAM, SSD và nguồn.",118,"Hướng dẫn xây dựng cấu hình PC theo nhu cầu gaming, đồ họa, AI hay văn phòng; biết cách chọn CPU, VGA, RAM, SSD, nguồn cân đối ngân sách và dễ nâng cấp về sau tại Sintech.",171
BLG-003,"Tự build PC cần kiểm tra main, CPU, RAM, VGA, nguồn, case và tản nhiệt. Xem 10 lỗi phổ biến để tránh mua sai linh kiện.",119,"Tự build PC cần kiểm tra main, CPU, RAM, VGA, nguồn, case và tản nhiệt. Xem 10 lỗi người mới hay gặp để tránh mua sai linh kiện và lắp ráp an toàn, bền hơn cùng Sintech.",169
BLG-004,"Gợi ý build PC gaming theo ngân sách 15, 20, 30, 40 triệu; chọn CPU, VGA, RAM, SSD phù hợp và link sang tool Build PC Sintech.",126,"Gợi ý build PC gaming theo ngân sách 15, 20, 30, 40 triệu; chọn CPU, VGA, RAM, SSD phù hợp từng mức tiền. Xem cấu hình mẫu và dùng công cụ Build PC online tại Sintech.",167
BLG-005,"Gợi ý build PC 15 triệu cho game online, học tập và làm việc; chọn CPU, VGA, RAM, SSD hợp lý và dễ nâng cấp.",108,"Gợi ý build PC 15 triệu cho game online, học tập và làm việc; chọn CPU, VGA, RAM, SSD hợp lý, dễ nâng cấp. Tham khảo cấu hình mẫu và nhận báo giá nhanh tại Sintech.",164
BLG-006,"Cấu hình build PC 20 triệu cho gaming Full HD, 2K nhẹ, học tập và làm việc; gợi ý linh kiện cân bằng hiệu năng.",111,"Cấu hình build PC 20 triệu cho gaming Full HD, 2K nhẹ, học tập và làm việc; gợi ý linh kiện cân bằng hiệu năng, dễ nâng cấp. Xem cấu hình mẫu và báo giá tại Sintech.",165
BLG-007,"Gợi ý build PC 30 triệu cân bằng gaming, stream, Photoshop, Premiere và đồ họa bán chuyên với linh kiện dễ nâng cấp.",116,"Gợi ý build PC 30 triệu cân bằng gaming, stream, Photoshop, Premiere và đồ họa bán chuyên với linh kiện dễ nâng cấp. Tham khảo cấu hình mẫu và được tư vấn tại Sintech.",167
BLG-008,"Cấu hình build PC 40 triệu cho gaming 2K, đồ họa, AI và làm việc nặng; gợi ý CPU, VGA, RAM, SSD tối ưu.",103,"Cấu hình build PC 40 triệu cho gaming 2K, đồ họa, AI và làm việc nặng; gợi ý CPU, VGA, RAM, SSD tối ưu hiệu năng. Xem cấu hình mẫu và dùng công cụ Build PC Sintech.",164
BLG-009,"Gợi ý build PC văn phòng giá rẻ, ổn định cho học tập, kế toán, bán hàng và làm việc online; dễ nâng cấp SSD/RAM.",112,"Gợi ý build PC văn phòng giá rẻ, ổn định cho học tập, kế toán, bán hàng và làm việc online; dễ nâng cấp SSD, RAM. Xem cấu hình mẫu và nhận báo giá nhanh tại Sintech.",165
BLG-010,"Hướng dẫn build PC đồ họa cho Photoshop, Premiere, AutoCAD; chọn CPU, VGA, RAM, SSD và màn hình phù hợp từng nhu cầu.",117,"Hướng dẫn build PC đồ họa cho Photoshop, Premiere, AutoCAD; chọn CPU, VGA, RAM, SSD và màn hình phù hợp từng nhu cầu thiết kế. Xem cấu hình mẫu và tư vấn tại Sintech.",166
BLG-011,"Tìm hiểu build PC AI cần CPU, VGA, VRAM, RAM, SSD như thế nào; gợi ý cấu hình cho học AI, render và data.",105,"Tìm hiểu build PC AI cần CPU, VGA, VRAM, RAM, SSD thế nào; gợi ý cấu hình cho học AI, render và xử lý dữ liệu. Xem cấu hình mẫu và được tư vấn build PC tại Sintech.",164
BLG-012,"Tư vấn build PC chơi game 2K, so sánh RTX 4060 Ti, RTX 4070, RTX 5060 và cách chọn CPU, RAM, màn hình phù hợp.",110,"Tư vấn build PC chơi game 2K, so sánh RTX 4060 Ti, RTX 4070, RTX 5060 và cách chọn CPU, RAM, màn hình phù hợp. Xem cấu hình mẫu và dùng công cụ Build PC Sintech.",161
BLG-013,"Có nên mua SSD cũ không? Xem cách kiểm tra sức khỏe SSD, dung lượng, chuẩn SATA/NVMe, bảo hành và nơi mua uy tín.",113,"Có nên mua SSD cũ không? Xem cách kiểm tra sức khỏe SSD, dung lượng, chuẩn SATA/NVMe và bảo hành. Mua SSD cũ đã test kỹ, giá tốt, bảo hành rõ ràng tại Sintech.",159
BLG-014,"So sánh SSD SATA cũ và SSD NVMe cũ cho PC, laptop; nên chọn dung lượng nào, tốc độ ra sao và cần test gì trước khi mua.",119,"So sánh SSD SATA cũ và SSD NVMe cũ cho PC, laptop; nên chọn dung lượng nào, tốc độ ra sao và cần test gì trước khi mua. Mua SSD cũ đã test, bảo hành rõ ràng tại Sintech.",169
BLG-015,"Đánh giá RTX 4060 cũ có đáng mua không, phù hợp game nào, cần test nhiệt độ, quạt, VRAM và bảo hành ra sao.",107,"Đánh giá RTX 4060 cũ có đáng mua không, hợp game nào, cần test nhiệt độ, quạt, VRAM và bảo hành ra sao. Mua RTX 4060 cũ đã kiểm tra kỹ, bảo hành rõ ràng tại Sintech.",165
BLG-016,"RTX 3060 cũ có còn đáng mua? So sánh bản 8GB, 12GB, RTX 4060 và cách test card trước khi mua.",93,"RTX 3060 cũ có còn đáng mua? So sánh bản 8GB, 12GB với RTX 4060 và cách test card trước khi mua. Mua RTX 3060 cũ đã kiểm tra kỹ, giá tốt, bảo hành rõ ràng tại Sintech.",167
BLG-017,"Tư vấn mua RTX 4070 cũ, so sánh với RTX 4060/4060 Ti, phù hợp gaming 2K, render và build PC cao cấp.",100,"Tư vấn mua RTX 4070 cũ, so sánh với RTX 4060 và 4060 Ti, phù hợp gaming 2K, render và build PC cao cấp. Mua RTX 4070 cũ đã test kỹ, bảo hành rõ ràng tại Sintech.",161
BLG-018,"Hướng dẫn test VGA cũ, kiểm tra nhiệt độ, quạt, VRAM, benchmark, cổng xuất hình và bảo hành trước khi mua.",106,"Hướng dẫn test VGA cũ: kiểm tra nhiệt độ, quạt, VRAM, benchmark, cổng xuất hình và bảo hành trước khi mua. Mua VGA cũ đã test kỹ, giá tốt, bảo hành rõ ràng tại Sintech.",168
BLG-019,"Kinh nghiệm mua linh kiện PC cũ tại TPHCM, cách chọn SSD, VGA, CPU, RAM, nguồn cũ có test và bảo hành rõ ràng.",110,"Kinh nghiệm mua linh kiện PC cũ tại TPHCM: cách chọn SSD, VGA, CPU, RAM, nguồn cũ có test và bảo hành rõ ràng. Mua linh kiện cũ giá tốt, kiểm tra kỹ tại Sintech.",161
BLG-020,"CPU cũ có đáng mua không? Hướng dẫn chọn CPU Intel, AMD cũ, kiểm tra socket, mainboard, nhiệt độ và bảo hành.",109,"CPU cũ có đáng mua không? Hướng dẫn chọn CPU Intel, AMD cũ, kiểm tra socket, mainboard, nhiệt độ và bảo hành. Mua CPU cũ đã test kỹ, giá tốt, bảo hành tại Sintech.",163
BLG-021,"Sintech thu mua linh kiện PC cũ tại TPHCM: VGA, CPU, RAM, SSD, nguồn, main. Xem quy trình kiểm tra và định giá.",111,"Sintech thu mua linh kiện PC cũ tại TPHCM: VGA, CPU, RAM, SSD, nguồn, main. Xem quy trình kiểm tra, định giá minh bạch và nhận tiền nhanh. Liên hệ Sintech để được báo giá.",171
