roadmap_id,cluster,priority,week,title,status,seo_score,impact,effort,target_url,deadline_publish
BLG-001,Build PC,A1,1,Build PC Online Là Gì? Cách Tự Xây Dựng Cấu Hình PC Tại Sintech,backlog,94.0,5,3,/pages/xay-dung-cau-hinh,2026-06-19
BLG-002,Build PC,A1,1,Hướng Dẫn Xây Dựng Cấu Hình PC Theo Nhu Cầu Từ A-Z,backlog,83.0,5,4,/pages/xay-dung-cau-hinh,2026-06-21
BLG-003,Build PC,A1,2,Tự Build PC Cần Lưu Ý Gì? 10 Lỗi Người Mới Thường Gặp,backlog,77.0,4,3,/pages/xay-dung-cau-hinh,2026-06-26
BLG-004,Build PC,A1,2,"Build PC Gaming Theo Ngân Sách: 15, 20, 30, 40 Triệu Nên Chọn Gì?",backlog,91.0,5,4,/pages/xay-dung-cau-hinh,2026-06-28
BLG-005,Build PC,A2,2,"Build PC 15 Triệu Chơi Game Mượt: Cấu Hình Tối Ưu Cho Học Sinh, Sinh Viên",backlog,85.0,4,3,/pages/xay-dung-cau-hinh,2026-06-30
BLG-013,Linh kiện cũ,A1,3,"Có Nên Mua SSD Cũ Không? Kinh Nghiệm Chọn SSD Cũ Bền, Ít Lỗi",backlog,94.0,5,3,/collections/ssd-cu,2026-07-08
BLG-006,Build PC,A2,3,"Build PC 20 Triệu: Cấu Hình Gaming Full HD, 2K Đáng Mua",backlog,85.0,4,3,/pages/xay-dung-cau-hinh,2026-07-03
BLG-007,Build PC,A2,3,"Build PC 30 Triệu: Cấu Hình Gaming, Stream Và Đồ Họa Bán Chuyên",backlog,85.0,4,3,/pages/xay-dung-cau-hinh,2026-07-05
BLG-008,Build PC,A2,3,"Build PC 40 Triệu: Cấu Hình Cao Cấp Cho Gaming 2K, Đồ Họa Và AI",backlog,85.0,4,3,/pages/xay-dung-cau-hinh,2026-07-07
BLG-015,Linh kiện cũ,A1,4,"RTX 4060 Cũ Có Đáng Mua Không? Hiệu Năng, Giá Và Cách Test Trước Khi Mua",backlog,94.0,5,3,/collections/vga-cu,2026-07-15
BLG-009,Build PC,A2,4,Build PC Văn Phòng Giá Rẻ: Cấu Hình Ổn Định Cho Học Tập Và Làm Việc,backlog,71.0,3,2,/pages/xay-dung-cau-hinh,2026-07-10
BLG-010,Build PC,A2,4,"Build PC Đồ Họa: Cách Chọn CPU, VGA, RAM, SSD Cho Photoshop, Premiere, AutoCAD",backlog,91.0,5,4,/pages/xay-dung-cau-hinh,2026-07-12
BLG-014,Linh kiện cũ,A2,4,"SSD SATA Cũ Hay SSD NVMe Cũ: Nên Chọn Loại Nào Cho PC, Laptop?",backlog,77.0,4,3,/collections/ssd-cu,2026-07-14
BLG-016,Linh kiện cũ,A1,5,"RTX 3060 Cũ Có Còn Đáng Mua Không? So Sánh Bản 8GB, 12GB Và RTX 4060",backlog,94.0,5,3,/collections/vga-cu,2026-07-21
BLG-018,Linh kiện cũ,A1,5,Mua VGA Cũ Cần Test Gì? Cách Kiểm Tra Card Màn Hình Trước Khi Mua,backlog,91.0,5,4,/collections/vga-cu,2026-07-17
BLG-017,Linh kiện cũ,A2,5,RTX 4070 Cũ Có Đáng Mua Không? Khi Nào Nên Chọn Thay Vì RTX 4060?,backlog,85.0,4,3,/collections/vga-cu,2026-07-22
BLG-011,Build PC,B,5,"Build PC AI Là Gì? Cấu Hình Máy Tính Cho AI, Render Và Data",backlog,65.0,3,4,/pages/xay-dung-cau-hinh,2026-07-17
BLG-012,Build PC,B,5,"Build PC Chơi Game 2K: Nên Chọn RTX 4060 Ti, RTX 4070 Hay RTX 5060?",backlog,82.0,4,4,/pages/xay-dung-cau-hinh,2026-07-19
BLG-019,Linh kiện cũ,A2,6,Linh Kiện PC Cũ TPHCM: Kinh Nghiệm Mua Hàng Có Test Và Bảo Hành,backlog,94.0,5,3,/collections/linh-kien-pc-cu,2026-07-24
BLG-020,Linh kiện cũ,B,6,"CPU Cũ Có Đáng Mua Không? Kinh Nghiệm Chọn CPU Intel, AMD Cũ",backlog,77.0,4,3,/collections/cpu-cu,2026-07-26
BLG-021,Linh kiện cũ,B,6,Thu Mua Linh Kiện PC Cũ TPHCM: Bảng Giá Tham Khảo Và Quy Trình Kiểm Tra,backlog,85.0,4,3,/pages/thu-mua-linh-kien-pc-cu,2026-07-28
BLG-023,Phần mềm bản quyền,A1,7,Office 2021 Bản Quyền Khác Gì Office Crack Khi Làm Việc Hằng Ngày?,backlog,94.0,5,3,/collections/phan-mem-ban-quyen,2026-08-02
BLG-024,Phần mềm bản quyền,A2,7,Office 2021 Crack Có An Toàn Không? Rủi Ro Khi Dùng Trong Công Việc,backlog,77.0,4,3,/collections/phan-mem-ban-quyen,2026-08-04
BLG-022,Linh kiện cũ,B,7,"Bảng Mã Lỗi Main X99: AA, 60, 67, 73, BD, FF Là Gì Và Cách Xử Lý",backlog,66.0,4,4,/collections/mainboard-cu,2026-07-31
BLG-027,Phần mềm bản quyền,A1,8,Hướng Dẫn Cài Đặt AutoCAD 2021 Hợp Lệ Trên Windows 10/11,backlog,91.0,5,4,/collections/phan-mem-ban-quyen,2026-08-11
