p0_rank_ref,article_id,title,img_index,role,img_url,size,status,action
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),0,hero,https://cdn.hstatic.net/200000860097/file/19_975ae3dd7b8a46f481c5ccbc8bcbe94c_grande.png,160KB,ok,set width/height + KHÔNG lazy (ảnh LCP) + cân nhắc fetchpriority=high
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),1,inline,https://cdn.hstatic.net/200000860097/file/20_0eb644fba53940ca80fac1259e619c58_grande.png,174KB,ok,thêm width/height + thêm loading=lazy
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),2,inline,https://cdn.hstatic.net/200000860097/file/21_54f8c01a5daf4c5db4ef8f5722f5c15e_grande.png,65KB,ok,thêm width/height + thêm loading=lazy
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),3,inline,https://cdn.hstatic.net/200000860097/file/22_18eed5d708d34521a6951485cfa5cde9_grande.png,85KB,ok,thêm width/height + thêm loading=lazy
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),4,inline,https://cdn.hstatic.net/200000860097/file/23_7e1302f010874ff7bc6e1e7373aa0ef0_grande.png,148KB,ok,thêm width/height + thêm loading=lazy
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,0,hero,https://file.hstatic.net/200000860097/file/pc_bi_giat_dien_b585afa874254e6fbaceedd1e75e2baa_grande.png,360KB,heavy,resize hero → 1200×675 ≤180KB + set width/height + KHÔNG lazy (ảnh LCP) + cân nhắc fetchpriority=high
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,1,inline,https://file.hstatic.net/200000860097/file/111_7ee6e6e10ba642b88a607ace294c7470_grande.png,289KB,ok,thêm width/height + thêm loading=lazy
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,2,inline,https://file.hstatic.net/200000860097/file/2222_9b593d15a4944cda982155cb9ea215ab_grande.png,211KB,ok,thêm width/height + thêm loading=lazy
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,3,inline,https://file.hstatic.net/200000860097/file/33333_228e7ea558104f83a5003cc6fae6b3ae_grande.png,136KB,ok,thêm width/height + thêm loading=lazy
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,4,inline,https://file.hstatic.net/200000860097/file/thiet_ke_chua_co_ten_5bb5629a0084449fabc945a38304a94b_grande.png,271KB,ok,thêm width/height + thêm loading=lazy
