roadmap_id,secondary_old
BLG-001,"[""build pc"", ""web build pc"", ""build pc web"", ""pc build online"", ""build online"", ""built pc online"", ""trang web build pc""]"
BLG-002,"[""xây dựng cấu hình"", ""xây dựng cấu hình máy tính"", ""dựng cấu hình pc"", ""build cấu hình pc"", ""tự build cấu hình pc""]"
BLG-003,"[""tự build cấu hình pc"", ""build pc theo yêu cầu"", ""xây dựng pc"", ""build cấu hình pc""]"
BLG-004,"[""build pc 15 triệu"", ""build pc 20 triệu"", ""build pc 30 triệu"", ""build pc 40 triệu"", ""pc gaming""]"
BLG-005,"[""pc gaming giá rẻ"", ""build pc giá rẻ"", ""cấu hình pc 15 triệu"", ""build pc chơi game giá rẻ""]"
BLG-013,"[""ổ cứng ssd cũ"", ""ổ ssd cũ"", ""ssd cũ giá rẻ"", ""mua ssd cũ"", ""ssd 256gb cũ"", ""ssd 512gb cũ"", ""ssd 1tb cũ""]"
BLG-006,"[""pc gaming 20 triệu"", ""cấu hình pc 20 triệu"", ""build pc gaming 20 triệu""]"
BLG-007,"[""cấu hình pc 30 triệu"", ""pc gaming 30 triệu"", ""build pc stream"", ""pc đồ họa 30 triệu""]"
BLG-008,"[""pc gaming 40 triệu"", ""cấu hình pc cao cấp"", ""build pc 2k"", ""pc đồ họa ai""]"
BLG-015,"[""4060 cũ"", ""card 4060 cũ"", ""rtx 4060 ti cũ"", ""rtx 4060 ti 16gb cũ"", ""rtx 4060 second hand""]"
BLG-009,"[""pc văn phòng giá rẻ"", ""case văn phòng"", ""máy tính văn phòng"", ""build pc học tập""]"
BLG-010,"[""pc đồ họa"", ""pc photoshop"", ""pc premiere"", ""pc autocad"", ""build pc autocad""]"
BLG-014,"[""ssd sata cũ"", ""ssd m2 cũ"", ""ssd m2 nvme cũ"", ""ssd nvme 256gb cũ"", ""ssd nvme 1tb cũ""]"
BLG-016,"[""3060 cũ"", ""rtx 3060 12gb cũ"", ""rtx 3060 8gb cũ"", ""card 3060 12gb cũ"", ""rtx 3060 cũ giá rẻ""]"
BLG-018,"[""card màn hình cũ"", ""card cũ"", ""rtx cũ"", ""card amd cũ"", ""card nvidia cũ"", ""test vga"", ""test card màn hình""]"
BLG-017,"[""4070 cũ"", ""rtx cũ"", ""card nvidia cũ"", ""build pc chơi game 2k""]"
BLG-011,"[""pc ai"", ""workstation ai"", ""pc render"", ""pc data"", ""npu card for pc""]"
BLG-012,"[""rtx 4060 cũ"", ""rtx 4070 cũ"", ""rtx 5060"", ""laptop rtx 5060"", ""2k gaming""]"
BLG-019,"[""linh kiện pc cũ tphcm"", ""linh kiện máy tính cũ tphcm"", ""linh kiện cũ pc"", ""mua linh kiện pc cũ""]"
BLG-020,"[""cpu amd cũ"", ""i9 9900k cũ"", ""ryzen 5 5600 cũ"", ""ryzen 5 3600 cũ"", ""r5 5600 cũ"", ""i5 11400""]"
BLG-021,"[""thu mua pc cũ"", ""thu mua pc cũ tphcm"", ""bảng giá thu mua linh kiện máy tính cũ"", ""bán linh kiện pc cũ""]"
BLG-023,"[""microsoft office 2021"", ""office 2021 full"", ""office 2021 64 bit"", ""office 2021 windows 11"", ""cài office 2021""]"
BLG-024,"[""crack office 2021"", ""office 2021 full crack"", ""download office 2021 full crack"", ""tải office 2021 full crack"", ""crack word 2021""]"
BLG-022,"[""main báo lỗi aa"", ""lỗi 73 trên main x99"", ""lỗi 67 main x99"", ""lỗi 60 main x99"", ""lỗi bd trên main x99""]"
BLG-027,"[""cài đặt autocad 2021"", ""cài autocad 2021"", ""hướng dẫn cài autocad 2021"", ""cách cài autocad 2021"", ""cài cad 2021""]"
BLG-025,"[""cài đặt office 2021"", ""cách cài office 2021"", ""hướng dẫn cài office 2021"", ""cài office 2021 cho win 11""]"
BLG-026,"[""crack autocad 2021"", ""crack cad 2021"", ""autocad 2021 full crack"", ""file crack autocad 2021""]"
BLG-031,"[""sua may tinh quan 7"", ""sửa máy tính q7"", ""sửa pc quận 7"", ""pc quận 7"", ""sửa máy tính quận 7 tận nơi""]"
BLG-032,"[""laptop quận 7"", ""sửa laptop q7"", ""vệ sinh laptop quận 7"", ""laptop nóng"", ""laptop chậm""]"
BLG-028,"[""cấu hình autocad 2021"", ""pc autocad"", ""build pc autocad"", ""laptop autocad""]"
BLG-029,"[""adobe acrobat pro full crack"", ""adobe acrobat full crack"", ""acrobat crack"", ""acrobat reader crack"", ""adobe pdf crack""]"
BLG-033,"[""vệ sinh laptop"", ""thay keo tản nhiệt"", ""laptop nóng"", ""vệ sinh máy tính quận 7""]"
BLG-034,"[""vệ sinh máy tính quận 7"", ""vệ sinh PC"", ""thay keo CPU"", ""thay keo VGA""]"
BLG-035,"[""cài phần mềm"", ""cài win cho laptop"", ""cài office bản quyền"", ""sửa máy tính q7""]"
BLG-030,"[""corel 2019 full"", ""corel 2021 full"", ""coreldraw 2021 full"", ""crack corel 2019""]"
BLG-036,"[""pc bị rò điện"", ""case pc rò điện"", ""nguồn pc rò điện""]"
BLG-037,"[""cs2"", ""game cs2"", ""cs2 là game gì"", ""cấu hình cs2"", ""pc chơi cs2""]"
BLG-038,"[""cấu hình chơi palworld"", ""pc chơi palworld"", ""build pc chơi game""]"
BLG-040,"[""thu mua pc"", ""thu mua pc cũ tphcm"", ""thu pc cũ"", ""bán pc cũ"", ""pc quận 7""]"
BLG-039,"[""cấu hình chơi zzz"", ""dung lượng zzz"", ""pc chơi zzz""]"
