p0_rank,rank,article_id,title,url,traffic,mobile_perf,lcp,cls,ttfb,hero_bytes,broken_images,heavy_images,html_legacy,primary_issue,secondary_issue,owner,effort,expected_impact,quickwin_score,exact_action,status
1,2,1002399773,"Cấu hình chơi CS2 - Counter Strike 2 trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-cs2-counter-strike-2-tren-pc-laptop,8clk/9ses,51,4362,0.472,,0,0,0,False,CLS_LAYOUT_RISK,,THEME_CODE,S,Giảm CLS (chủ yếu chờ theme set kích thước ảnh),170.0,"→ THEME_CODE handoff (CLS/JS/CSS, không sửa per-bài)",TODO
2,1,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,0clk/16ses,32,12218,0.456,,164328,0,0,True,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,CONTENT,M,"Trang nhẹ + sạch HTML, ổn định render",72.4,clean HTML legacy; table responsive,TODO
3,3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,0clk/13ses,34,13085,0.256,,369302,0,1,True,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,MIXED,M,Giảm byte ảnh/LCP rõ rệt,61.5,resize 1 ảnh nặng; clean HTML legacy; table responsive,TODO
4,8,1002398567,"Trung tâm sửa PC uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-pc-uy-tin-lay-ngay-o-quan-7,3clk/4ses,52,13457,0.126,,0,0,0,False,CLS_LAYOUT_RISK,,CONTENT,S,Giảm CLS (chủ yếu chờ theme set kích thước ảnh),57.5,table responsive,TODO
5,11,1002717797,"Top 10 Thương Hiệu Linh Kiện Máy Tính Được Yêu Thích Nhất Tại Việt Nam: Game thủ, dân văn phòng, ai cũng mê!",https://sintech.vn/blogs/news/top-10-thuong-hieu-linh-kien-may-tinh-duoc-yeu-thich-nhat-tai-viet-nam,3clk/2ses,46,14686,0.189,,0,0,0,False,NEED_MANUAL_REVIEW,CLS_LAYOUT_RISK,CONTENT,S,Giảm CLS (chủ yếu chờ theme set kích thước ảnh),48.8,chờ tối ưu theme,TODO
6,5,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,0clk/9ses,44,13352,0.468,,0,0,0,True,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,CONTENT,M,"Trang nhẹ + sạch HTML, ổn định render",40.4,clean HTML legacy; table responsive,TODO
7,4,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,2clk/3ses,32,15155,0.765,,57218,1,0,True,IMAGES_BROKEN,BODY_HTML_LEGACY,MIXED,M,"Hết ảnh vỡ + giảm LCP — impact nhanh, dễ",37.7,thay 1 ảnh chết; clean HTML legacy; table responsive,TODO
8,17,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,0clk/3ses,39,12594,0.767,,74318,0,0,False,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,THEME_CODE,S,Giảm CLS (chủ yếu chờ theme set kích thước ảnh),24.5,"→ THEME_CODE handoff (CLS/JS/CSS, không sửa per-bài)",TODO
9,18,1002414345,Cách khắc phục lỗi Command Prompt tự mở trên Windows,https://sintech.vn/blogs/news/cach-khac-phuc-loi-command-prompt-tu-mo-tren-windows,0clk/3ses,34,8704,0.792,,0,0,0,False,CLS_LAYOUT_RISK,,THEME_CODE,S,Giảm CLS (chủ yếu chờ theme set kích thước ảnh),23.1,"→ THEME_CODE handoff (CLS/JS/CSS, không sửa per-bài)",TODO
10,13,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,0clk/3ses,38,12599,0.911,,199069,0,2,True,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,MIXED,L,Giảm byte ảnh/LCP rõ rệt,11.6,resize 2 ảnh nặng; clean HTML legacy; giảm DOM; table responsive,TODO
