rank,tier,priority_score,owner,article_id,title,url,status,rewritten_ai_live,gsc_clicks,gsc_impr,ga4_sessions,m_perf,m_lcp,m_cls,m_tbt,m_fcp,d_perf,d_lcp,ttfb,field_lcp,field_cat,word_count,body_len,dom_est,image_count,external_image_count,broken_image_count,hero_url,hero_bytes,hero_w,hero_h,hero_aspect,inline_total_bytes,imgs_missing_dim,imgs_missing_lazy,imgs_over_300k,imgs_over_700k,iframe_count,script_count,table_count,legacy,primary_issue,secondary_issue,issues,m_opp
1,P0,5935.9,CONTENT,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,draft_ready,False,0,18,16,32,12218,0.4563,594,3386,82,2320,,1678,AVERAGE,4044,23945,412,5,0,0,https://cdn.hstatic.net/200000860097/file/19_975ae3dd7b8a46f481c5ccbc8bcbe94c_grande.png,164328,,,,649427,5,4,0,0,0,0,1,True,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
2,P0,5610.5,THEME_CODE,1002399773,"Cấu hình chơi CS2 - Counter Strike 2 trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-cs2-counter-strike-2-tren-pc-laptop,applied,True,8,1095,9,51,4362,0.4721,303,3373,66,2370,,1678,AVERAGE,4245,4361,49,0,0,0,,0,,,,0,0,0,0,0,0,0,0,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
3,P0,5146.8,IMAGE,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,draft_ready,False,0,31,13,34,13085,0.2559,709,3473,68,2630,,1678,AVERAGE,4319,47614,858,5,0,0,https://file.hstatic.net/200000860097/file/pc_bi_giat_dien_b585afa874254e6fbaceedd1e75e2baa_grande.png,369302,,,,1299670,5,4,1,0,0,0,1,True,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,HERO_IMAGE_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
4,P0,3295.2,IMAGE,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,draft_ready,False,2,149,3,32,15155,0.7655,438,3375,77,2672,,1678,AVERAGE,4406,65707,1159,5,5,1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/header.jpg?t=1753974947,57218,,,,436157,5,4,0,0,0,0,4,True,IMAGES_BROKEN,BODY_HTML_LEGACY,IMAGES_BROKEN|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
5,P0,3260.3,CONTENT,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,draft_ready,False,0,19,9,44,13352,0.4675,209,3361,70,2461,,1678,AVERAGE,4377,10210,279,0,0,0,,0,,,,0,0,0,0,0,0,0,7,True,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
6,P1,2528.3,IMAGE,1002420321,"Hướng dẫn 2 cách xóa chữ, logo, watermark trên ảnh bằng Photoshop cực nhanh chóng và đơn giản",https://sintech.vn/blogs/news/huong-dan-2-cach-xoa-chu-logo-watermark-tren-anh-bang-photoshop-cuc,draft_ready,False,2,185,2,46,14576,0.2076,119,8470,70,2781,,1678,AVERAGE,4051,6316,84,13,13,0,https://cdn.tgdd.vn/News/1562666/xoa-chu-tren-anh-1280x720-2.jpg,132097,,,,2077873,13,12,0,0,0,0,0,False,INLINE_IMAGES_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,INLINE_IMAGES_TOO_HEAVY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
7,P1,2422.1,IMAGE,1002402249,"Cấu hình chơi ZZZ - Zenless Zone Zero Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-zzz-zenless-zone-zero-tren-pc-laptop,draft_ready,False,2,161,2,50,12756,0.1868,390,3374,81,2573,,1678,AVERAGE,3639,1731,24,1,1,1,https://motgame.vn/stores/news_dataimages/2024/022024/06/15/chrome-7zp38hby3e-1707128883-10031620240206151154.1699660.png?rt=20240206152149,0,,,,0,1,0,0,0,0,0,1,False,IMAGES_BROKEN,CLS_LAYOUT_RISK,IMAGES_BROKEN|CLS_LAYOUT_RISK,
8,P0,2326.9,THEME_CODE,1002398567,"Trung tâm sửa PC uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-pc-uy-tin-lay-ngay-o-quan-7,draft_ready,False,3,55,4,52,13457,0.1261,92,8764,77,2482,,1678,AVERAGE,4277,6045,205,0,0,0,,0,,,,0,0,0,0,0,0,0,4,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
9,P1,2118.4,IMAGE,1002538930,Sửa Chữa Máy Tính Quận 7 - Dịch Vụ Uy Tín Nhanh Chóng,https://sintech.vn/blogs/huong-dan/sua-chua-may-tinh-quan-7-dich-vu-tan-noi-nhanh-chong,draft_ready,False,2,67,2,51,14513,0.1171,184,8169,74,2827,,1678,AVERAGE,4401,5718,78,1,0,0,https://file.hstatic.net/200000860097/file/screenshot_1_a28497f920534013a74a2e3051398173_grande.png,594278,,,,594278,1,0,1,0,0,0,0,False,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,HERO_IMAGE_TOO_HEAVY|CLS_LAYOUT_RISK,
10,P1,2077.1,IMAGE,1002704151,"ASUS ra mắt bộ PC Hatsune Miku ""full gear"": Từ linh kiện đến thời trang, waifu chính thức bước vào thế giới gaming",https://sintech.vn/blogs/news/asus-ra-mat-bo-pc-hatsune-miku-full-gear-tu-linh-kien-den-thoi-tran,draft_ready,False,2,78,2,41,10803,0.2768,503,3373,77,3042,,1678,AVERAGE,4194,20122,331,9,5,0,https://cdn.wccftech.com/wp-content/uploads/2025/07/ROG-Miku-PC-Build.jpg,175435,,,,1803804,9,8,1,0,0,0,0,True,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
