rank,article_id,title,url,tier,primary_issue,secondary_issue,action,gsc_clicks,ga4_sessions
1,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,P0,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,16
2,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,P0,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,13
3,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,P0,IMAGES_BROKEN,BODY_HTML_LEGACY,thay ảnh chết + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,2,3
4,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,P0,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,9
5,1002420321,"Hướng dẫn 2 cách xóa chữ, logo, watermark trên ảnh bằng Photoshop cực nhanh chóng và đơn giản",https://sintech.vn/blogs/news/huong-dan-2-cach-xoa-chu-logo-watermark-tren-anh-bang-photoshop-cuc,P1,INLINE_IMAGES_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,2,2
6,1002402249,"Cấu hình chơi ZZZ - Zenless Zone Zero Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-zzz-zenless-zone-zero-tren-pc-laptop,P1,IMAGES_BROKEN,CLS_LAYOUT_RISK,thay ảnh chết + gỡ/thay ảnh external,2,2
7,1002538930,Sửa Chữa Máy Tính Quận 7 - Dịch Vụ Uy Tín Nhanh Chóng,https://sintech.vn/blogs/huong-dan/sua-chua-may-tinh-quan-7-dich-vu-tan-noi-nhanh-chong,P1,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,resize/nén hero + nén ảnh >300KB,2,2
8,1002704151,"ASUS ra mắt bộ PC Hatsune Miku ""full gear"": Từ linh kiện đến thời trang, waifu chính thức bước vào thế giới gaming",https://sintech.vn/blogs/news/asus-ra-mat-bo-pc-hatsune-miku-full-gear-tu-linh-kien-den-thoi-tran,P1,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,2,2
9,1002745043,NPU là gì? Vì sao PC 2025 cần có NPU để chạy AI mượt mà hơn,https://sintech.vn/blogs/news/npu-la-gi-vi-sao-pc-2025-can-co-npu-de-chay-ai-muot-ma-hon,P1,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ,1,2
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,P0,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,3
11,1002277948,Giới thiệu về công ty máy tính Sintech,https://sintech.vn/blogs/news/gioi-thieu-ve-cong-ty-may-tinh-sintech,P1,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,1,1
12,1002601884,"Intel ra mắt CPU Core Ultra 300 (Panther Lake) năm 2026, sản xuất hàng loạt từ cuối 2025",https://sintech.vn/blogs/news/intel-ra-mat-cpu-core-ultra-300-panther-lake-nam-2026-san-xuat-hang,P1,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ + gỡ/thay ảnh external,1,1
13,1002600742,"AMD chuẩn bị ra mắt Radeon RX 9070 GRE với hiệu năng mạnh, giá cạnh tranh hơn",https://sintech.vn/blogs/news/amd-chuan-bi-ra-mat-radeon-rx-9070-gre-voi-hieu-nang-manh-gia-canh-tr,P1,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,nén ảnh >300KB + clean HTML cũ + gỡ/thay ảnh external,1,1
14,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,P0,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,3
15,1002746933,So sánh RAM DDR4 vs DDR5 đáng mua năm 2025: nên chọn loại nào?,https://sintech.vn/blogs/huong-dan/so-sanh-ram-ddr4-vs-ddr5-dang-mua-nam-2025-nen-chon-loai-nao,P1,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + gỡ/thay ảnh external,0,1
16,1002758362,DLSS 4 là gì? Cách bật DLSS 4 trên card NVIDIA,https://sintech.vn/blogs/huong-dan/dlss-4-la-gi-cach-bat-dlss-4-tren-card-nvidia,P1,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,1,0
17,1002430893,Cách khôi phục file đã xóa trên Windows 11 trong tích tắc,https://sintech.vn/blogs/news/cach-khoi-phuc-file-da-xoa-tren-windows-11-trong-tich-tac,P1,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,1,0
18,1002399833,"Cấu hình chơi Naraka: Bladepoint Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-naraka-bladepoint-tren-pc-laptop,P1,IMAGES_MISSING_LAZYLOAD,CLS_LAYOUT_RISK,lazy-load ảnh dưới fold + gỡ/thay ảnh external,1,1
19,1002398522,"Trung tâm sửa laptop - máy tính uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-laptop-uy-tin-lay-ngay-o-quan-7,P1,IMAGES_BROKEN,HERO_IMAGE_TOO_HEAVY,thay ảnh chết + resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,1
20,1002728484,Keo tản nhiệt kim loại lỏng là gì? Có nên dùng không?,https://sintech.vn/blogs/huong-dan/keo-tan-nhiet-kim-loai-long-la-gi-co-nen-dung-khong,P1,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,1
21,1002423381,CUDA Core là gì? Vai trò của CUDA trong GPU đồ họa NVIDIA,https://sintech.vn/blogs/news/cuda-core-la-gi-vai-tro-cua-cuda-trong-gpu-do-hoa-nvidia,P1,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,1
22,1002793749,Giảm tiếng ồn quạt PC: Nguyên nhân & cách khắc phục hiệu quả (2025),https://sintech.vn/blogs/huong-dan/giam-tieng-on-quat-pc-nguyen-nhan-cach-khac-phuc-hieu-qua-2025,P1,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,1
23,1002767311,CORSAIR Ra Mắt WS3000 – Bộ Nguồn 3000W ATX 3.1 Cho Máy Trạm Hiệu Năng Cao,https://sintech.vn/blogs/huong-dan/corsair-ra-mat-ws3000-bo-nguon-3000w-atx-3-1-cho-may-tram-hieu-nang,P1,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,1
24,1002431245,Cách tối ưu card Nvidia chơi game với hiệu năng cao mà bạn có thể chưa biết,https://sintech.vn/blogs/news/cach-toi-uu-card-nvidia-choi-game-voi-hieu-nang-cao-ma-ban-co-the-chua,P1,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,2
