Table,Purpose,Read by,Written by,Main columns,Row count,Workflow,Retention,Backup,Risk,Notes,Confidence
posts,FB post scheduling/publishing queue,"list_posts,get_post,stats","create_post,update_post,delete_post","id,code,scheduled_date,scheduled_time,type,status,caption,images,link,fb_post_id",~,Facebook posts,keep,posts.db,low,status=draft/published,HIGH
meta,Global key-value config store,(config reads),(config writes),"key(PK),value",small,config,keep,posts.db,low,generic kv,MEDIUM
seo_runs,SEO crawl batch audit trail,"seo_latest_run,seo_get_run,seo_list_runs","seo_create_run,seo_finish_run,seo_update_run_progress","id,started_at,finished_at,status,total,success,failed",~,SEO crawl,keep,posts.db,low,status pending/running/done/failed,HIGH
seo_pages,Main SEO audit per URL (meta/index/schema/links),"seo_list_pages,seo_stats,seo_find_duplicates,seo_h1_in_desc_list,cwv_top_urls,…","seo_upsert_page(s),seo_seed_urls,seo_schema_upsert,seo_mark_desc_h1_fixed","url(UNIQUE),url_type,status_code,title,meta_desc,h1,score,issues,schema_*,indexable,desc_h1_*",thousands,SEO crawl (core),keep,posts.db,med,"wide table, many migrations",HIGH
seo_links,Internal+external link audit,"seo_inlinks_for_url,seo_broken_*,seo_top_inlinks,seo_orphan_pages","seo_replace_links,seo_link_status_update(_batch),seo_reset_broken_links_for_recheck","id,source_url,target_url,is_internal,status_code,error_kind",thousands,Link audit/broken links,keep,posts.db,low,error_kind=dns_fail/ssl_error/timeout,HIGH
activity_log,Action/event timeline,activity_recent,activity_log,"id,ts,kind,icon,title,description,href,meta",~,UI activity feed,keep,posts.db,low,generic event log,HIGH
competitor_urls,Competitor crawl snapshot,"competitor_stats,competitor_topic_gap,competitor_list","competitor_upsert,competitor_clear","id,competitor,url(UNIQUE),url_type,title,topic,keywords,last_seen",~,Competitors,replace on crawl,posts.db,low,source=crawl,HIGH
seo_history,Periodic SEO metric snapshots,"seo_history_list,seo_history_chart_data,seo_history_regression_check","seo_capture_history,seo_history_cleanup","id,captured_at,total,avg_score,good,ok_count,bad,broken_links,avg_score_product/blog/collection",52 max,SEO trend,keep 52 (1yr),posts.db,low,auto-cleanup weekly,HIGH
haravan_products,Haravan product cache + audit score,"hv_list_products,hv_get_product(_by_handle),hv_stats,hv_top_issues,hv_all_product_ids","hv_upsert_product,hv_delete_products,mark_alt_synced","haravan_id(UNIQUE),handle,title,vendor,body_html,images,audit_score,audit_issues,alt_synced_at,last_synced",~2584,Haravan sync/audit/ALT,keep,posts.db,med,prune_stale deletes rows,HIGH
haravan_sync_runs,Haravan sync op log,hv_latest_sync,"hv_create_sync,hv_update_sync,hv_finish_sync","id,started_at,finished_at,status,total,fetched,failed",~,Haravan sync,keep,posts.db,low,status running/done/failed,HIGH
content_jobs,AI product-description gen workflow,"content_job_get(_by_url),content_jobs_list,content_jobs_stats","content_job_upsert,content_job_update,content_job_delete","product_url(UNIQUE),haravan_id,ai_titles_json,ai_metas_json,edited_body_html,status,is_money_product,reason",~,Content jobs (product),keep,posts.db,med,status pending..synced; reason empty_desc/…,HIGH
seo_cwv,Core Web Vitals PSI lab+field per URL/strategy,"cwv_list,cwv_stats,cwv_top_urls,cwv_progress,cwv_pass_stats","cwv_upsert,cwv_clear","url+strategy(UNIQUE),strategy,performance_score,lcp_ms,cls_score,tbt_ms,field_data_ok,lcp_field_ms,overall_category",~5000,CWV scan,keep,posts.db,low,strategy mobile/desktop,HIGH
seo_cwv_history,Weekly CWV snapshots,"cwv_history_has_week,cwv_history_get_week,cwv_history_timeline",cwv_history_snapshot,"week_no,year,url,strategy,performance_score,lcp_ms,snapshot_at",~,CWV trend,keep,posts.db,low,"UNIQUE(week,year,url,strategy)",HIGH
seo_schema_history,Weekly JSON-LD schema coverage,seo_schema_history_timeline,seo_schema_history_capture,"week_no,year,sp_has_product,blog_has_article,col_has_itemlist",~,Schema audit trend,keep,posts.db,low,"UNIQUE(week,year)",HIGH
collection_products,Collection→product mapping,"collection_products_urls,collection_products_stats",collection_products_replace,"collection_handle+product_id(PK),product_handle,product_url,synced_at",~,Title-meta tier / linking,replace on sync,posts.db,low,feeds /seo/title-meta tier,HIGH
haravan_audit,Audit log of Haravan PUT/POST/DELETE,"haravan_audit_list,haravan_audit_stats",haravan_audit_log,"id,ts,method,path,resource_type,resource_id,ok,status_code,error",~,Haravan change tracking,keep,posts.db,low,safety/forensics,HIGH
jobs,Background job queue (worker process),"job_claim_next,job_get,job_active,job_latest","job_enqueue,job_update_progress,job_finish,job_request_stop,jobs_requeue_stale_running","id,type,payload,status,stop_requested,progress,worker_pid",~,Async worker jobs,keep,posts.db,med,stale jobs requeued on boot,HIGH
blog_pillars,Blog content pillar definitions (T4),content_pillar routes,blog_pillar_writer.generate_plan,"id,title,intent,content_group,audience,target_category,layer,cluster_count",~,Blog pillar plan,keep,posts.db,low,feeds blog_jobs,HIGH
seo_cwv_lcp,LCP lab+field diagnostics summary (P0A/B),"cwv_lcp_list,cwv_lcp_filters,cwv_lcp_summary","cwv_lcp_record_run,_cwv_lcp_backfill_canon","url+strategy(PK),lab_lcp_median,lab_run_count,field_lcp_p75,field_scope,primary_opportunity",~40,CWV LCP diagnostics,keep,posts.db,low,created by cwv_lcp_harden_schema,HIGH
