Integration,Purpose,Source file,Credential source (name only),Read action,Write action,Rate limit,Failure mode,Fallback,Risk,Notes
Haravan Admin API,"Read/write products,collections,articles,SEO metafields,ALT","haravan_client.py,haravan_sync.py",state/haravan_token.json,"list/get products,collections,articles,metafields","update_product,upsert_metafield,update_article,add_image,asset upload",429→wait 2s,HaravanError on 4xx/5xx,retry; permission gate blocks create,HIGH: verify=False (SSL bypass); POST/DELETE product+article BLOCKED by gate,asset_storage cap 90 imgs
Facebook Graph API,Publish/schedule FB page posts + images,fb_client.py,state/fb_token.json,page_info/metrics,"post_to_page,post_multi,delete_post,schedule",Graph v21.0,RuntimeError on FB error,none,MED: publish thật ra page,scheduled needs +10min..6mo
Google Sheets API,Push title/meta proposals to report sheet,sheet_writer.py,.secrets/google_token.json,read URL→row map (col B),"append F/G/H (title,meta,status)",Sheets v4,RuntimeError if token expired,skip (best-effort),LOW,hardcoded sheet ID; 5min cache
Google Search Console,Top keywords/coverage for content,"seo.py,_fetch_gsc_* ,blog_pillar_writer.py",data/gsc_cache.json (manual export),read gsc_cache.json,none (cache only),n/a,stale if old,cache,LOW: data 1-7d stale (no live token),manual export workflow
PageSpeed Insights API,CWV lab+field scan per URL,cwv.py,state/psi_config.json (optional key),runPagespeed mobile/desktop,write seo_cwv,no key 1/2s; key 0.8s; 429 retry35s,retry 3x then fail,fail row,LOW,ThreadPool ~8 workers
Gemini API,AI fallback title/meta/content,"gemini_provider.py,ai_provider.py",.secrets/google.env (GOOGLE_API_KEY),gemini-2.0-flash gen,none,free 200 RPM,GeminiRateLimitError,3rd in chain,LOW,temp 0.7
Claude CLI,AI (Anthropic) title/meta/content/ALT,"claude_provider.py,ai_provider.py",OAuth keychain (Pro/Max session),claude -p non-interactive gen,none,quota-based,ClaudeRateLimitError,2nd in chain,LOW,system prompt via tempfile (8KB cmd)
Codex CLI,AI (OpenAI) primary gen,"codex_provider.py,ai_provider.py",ChatGPT Plus login (quota),codex exec gen,none,quota-based,CodexRateLimitError,1st in chain,LOW,reasoning effort low; 180s timeout
Telegram Bot API,Status/remote control + alerts,telegram_bot.py,.env/telegram_bot_token.txt,getUpdates long-poll; read DB,sendMessage; write audit,30s poll,retry next poll,none,LOW: hardcoded chat_id (owner only),commands /status /jobs /audit
Cloudinary API,Upload blog images → CDN,cloudinary_upload.py,state/cloudinary_keys.txt,none,signed upload → secure_url,n/a,RuntimeError on 4xx,none,LOW,folder sintech_blog; SHA1 sig
Canva Connect API,Brand template autofill + export,canva_client.py,state/canva_credentials.json + canva_tokens.json,list/get brand templates,"create_autofill_design,export",OAuth,CanvaError,auto-refresh token,LOW,OAuth2 PKCE; status page /canva
Serper.dev API,Research competitor headings/spec,serper_search.py,.secrets/serper.env (SERPER_API_KEY),POST search gl=vn,none,free 2500/mo,[] on fail,empty,LOW,feeds spec-block + blog outline
GitHub,Source backup (canonical nox-1),"auto_commit.bat,(cwv sync-github)",local git + GCM,git status/log/diff,git add -A + commit (Auto Commit DISABLED); manual push,n/a,git error,none,LOW: Auto Commit disabled; push manual,/api/seo/cwv/sync-github NEEDS_REVIEW
