rank,article_id,title,url,gsc_clicks,ga4_sessions,m_perf,m_lcp,m_cls,ttfb,image_count,hero_bytes,primary_issue,secondary_issue,tier,owner,fix,expected_impact,rewritten_ai_live
1,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,0,16,32,12218,0.4563,,5,164328,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,P0,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,False
2,1002399773,"Cấu hình chơi CS2 - Counter Strike 2 trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-cs2-counter-strike-2-tren-pc-laptop,8,9,51,4362,0.4721,,0,0,CLS_LAYOUT_RISK,,P0,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",True
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,0,13,34,13085,0.2559,,5,369302,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,P0,IMAGE,Resize hero về 600x338 / nén WebP <120KB,Giảm LCP/byte ảnh đáng kể,False
4,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,2,3,32,15155,0.7655,,5,57218,IMAGES_BROKEN,BODY_HTML_LEGACY,P0,IMAGE,Thay ảnh chết / re-host,Cải thiện tốc độ tải bài,False
5,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,0,9,44,13352,0.4675,,0,0,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,P0,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,False
6,1002420321,"Hướng dẫn 2 cách xóa chữ, logo, watermark trên ảnh bằng Photoshop cực nhanh chóng và đơn giản",https://sintech.vn/blogs/news/huong-dan-2-cach-xoa-chu-logo-watermark-tren-anh-bang-photoshop-cuc,2,2,46,14576,0.2076,,13,132097,INLINE_IMAGES_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,P1,IMAGE,"Nén/resize ảnh inline, bỏ ảnh >300KB",Giảm LCP/byte ảnh đáng kể,False
7,1002402249,"Cấu hình chơi ZZZ - Zenless Zone Zero Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-zzz-zenless-zone-zero-tren-pc-laptop,2,2,50,12756,0.1868,,1,0,IMAGES_BROKEN,CLS_LAYOUT_RISK,P1,IMAGE,Thay ảnh chết / re-host,Cải thiện tốc độ tải bài,False
8,1002398567,"Trung tâm sửa PC uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-pc-uy-tin-lay-ngay-o-quan-7,3,4,52,13457,0.1261,,0,0,CLS_LAYOUT_RISK,,P0,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",False
9,1002538930,Sửa Chữa Máy Tính Quận 7 - Dịch Vụ Uy Tín Nhanh Chóng,https://sintech.vn/blogs/huong-dan/sua-chua-may-tinh-quan-7-dich-vu-tan-noi-nhanh-chong,2,2,51,14513,0.1171,,1,594278,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,P1,IMAGE,Resize hero về 600x338 / nén WebP <120KB,Giảm LCP/byte ảnh đáng kể,False
10,1002704151,"ASUS ra mắt bộ PC Hatsune Miku ""full gear"": Từ linh kiện đến thời trang, waifu chính thức bước vào thế giới gaming",https://sintech.vn/blogs/news/asus-ra-mat-bo-pc-hatsune-miku-full-gear-tu-linh-kien-den-thoi-tran,2,2,41,10803,0.2768,,9,175435,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,P1,IMAGE,"Nén/resize ảnh inline, bỏ ảnh >300KB",Giảm LCP/byte ảnh đáng kể,False
11,1002717797,"Top 10 Thương Hiệu Linh Kiện Máy Tính Được Yêu Thích Nhất Tại Việt Nam: Game thủ, dân văn phòng, ai cũng mê!",https://sintech.vn/blogs/news/top-10-thuong-hieu-linh-kien-may-tinh-duoc-yeu-thich-nhat-tai-viet-nam,3,2,46,14686,0.1887,,0,0,NEED_MANUAL_REVIEW,CLS_LAYOUT_RISK,P0,MANUAL_REVIEW,Không lấy được body — kiểm tra tay,Cải thiện tốc độ tải bài,False
12,1002745043,NPU là gì? Vì sao PC 2025 cần có NPU để chạy AI mượt mà hơn,https://sintech.vn/blogs/news/npu-la-gi-vi-sao-pc-2025-can-co-npu-de-chay-ai-muot-ma-hon,1,2,40,13156,0.4404,,2,372876,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,P1,IMAGE,Resize hero về 600x338 / nén WebP <120KB,Giảm LCP/byte ảnh đáng kể,False
13,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,0,3,38,12599,0.9109,,11,199069,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,P0,IMAGE,"Nén/resize ảnh inline, bỏ ảnh >300KB",Giảm LCP/byte ảnh đáng kể,False
