"","[Bản Đồ Học Tập] 
Từ Newbie đến Quản Lý Dự Án SEO chuyên nghiệp","","","","","","","","","","","","","","","","","","","","","","","",""
"","Tổng hợp 50+ video chia sẻ miễn phí về SEO được đúc kết từ case study thực tế tại HEROSEO","","","","","","","","","","","","","","","","","","","","","","","",""
"- Group Hỏi & Đáp SEO: 
bit.ly/3t2mUOq","","","","","","","Quý 3","","","","","","","","","","","","","","","","","",""
"- About HEROSEO: 
https://dichvuseotongthe.vn/","","","Quý 2","","","","","","","","","","","","","","","","","","","","","",""
"","Quý 1","","","","","","","","","","","","","","","","","","","","","","","",""
"","Overview SEO
kiến thức nhập môn","Content SEO
định nghĩa và hướng dẫn","","Onpage SEO
định nghĩa và kỹ thuật tối ưu","","Entity & Offpage SEO
định nghĩa và kỹ thuật triển khai","","Quản lý dự án và Tool SEO
kiến thức quản lý dự án","","","","","","","","","","","","","","","","",""
"","Hiểu về Website","Nghiên cứu từ khoá SEO","","Onpage SEO cơ bản và checklist","","Hiểu về Offpage SEO","","Thiết lập KPI SEO","","","","","","","","","","","","","","","","",""
"","Domain, Hosting, Wordpress Căn Bản","Nhóm từ khoá SEO thủ công","","Onpage SEO nâng cao","","Công việc Offpage SEO","","Ước Tính Ngân Sách SEO","","","","","","","","","","","","","","","","",""
"","Lựa Chọn Tên Miền SEO","Nhóm 500 từ khóa tự động trong 1 phút?","","Sitemap","","Lưu ý khi triển khai Offpage SEO","","Tuyển Dụng Đội Nhóm SEO","","","","","","","","","","","","","","","","",""
"","SEO Là Gì","Lên Outline Content chuẩn SEO","","Robots.txt","","Hiểu về Entity SEO","","Xây Dựng Đội Nhóm SEO","","","","","","","","","","","","","","","","",""
"","Lợi Ích SEO","Audit Content SEO","","URL","","Công việc Entity SEO","","Vai Trò & Công Việc SEO","","","","","","","","","","","","","","","","",""
"","Index & Cách Google Xếp Hạng","Quy Trình Viết Content Chuẩn SEO","","BreadCrumbs","","Entity Google Cloud Stacks","","Cách Làm Báo Cáo SEO","","","","","","","","","","","","","","","","",""
"","Tổng Quan Lộ Trình SEO","ChatGPT làm Content SEO","","SEO Meta Title","","PBN Tìm kiếm và Khôi phục","","Đọc Báo Cáo & Quản Lý Dự Án SEO","","","","","","","","","","","","","","","","",""
"","Phân tích đối thủ trong SEO","Kiểm tra thứ hạng từ khóa tự động ","","SEO Meta Description","","Kỹ Thuật SEO Youtube","","Dấu hiệu và Xử Lý Google Penalty","","","","","","","","","","","","","","","","",""
"","Tổng Quan Thuật Toán Google","Tối ưu hình ảnh chuẩn SEO","","Tối ưu Heading SEO","","Kỹ Thuật SEO Google Map","","Hướng Dẫn Audit Website","","","","","","","","","","","","","","","","",""
"","","..","","Internal Link (mô hình)","","Lọc & Disavow Backlink Spam","","Toàn Tập Công Cụ Semrush","","","","","","","","","","","","","","","","",""
"","..","..","","External Link (kiểm soát)","","..","","..","","","","","","","","","","","","","","","","",""
"","..","..","","Featured Snippet (Top #0)","","..","","..","","","","","","","","","","","","","","","","",""
"","..","..","","Anchor Text (density optimize)","","..","","..","","","","","","","","","","","","","","","","",""
"","..","..","","Schema (template)","","..","","..","","","","","","","","","","","","","","","","",""
"","..","..","","Cấu trúc website","","..","","..","","","","","","","","","","","","","","","","",""
"","@copyright","","","","","","","","","","","","","","","","","","","","","","","",""
