article_id,title,url,tier,primary_issue,hero_bytes,imgs_over_300k,imgs_missing_lazy,imgs_missing_dim,external_image_count,broken_image_count,quick_wins
1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,P0,BODY_HTML_LEGACY,164328,0,4,5,0,0,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold
1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,P0,HERO_IMAGE_TOO_HEAVY,369302,1,4,5,0,0,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold
1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,P0,IMAGES_BROKEN,57218,0,4,5,5,1,thay ảnh chết + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external
1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,P0,BODY_HTML_LEGACY,0,0,0,0,0,0,clean HTML cũ
1002420321,"Hướng dẫn 2 cách xóa chữ, logo, watermark trên ảnh bằng Photoshop cực nhanh chóng và đơn giản",https://sintech.vn/blogs/news/huong-dan-2-cach-xoa-chu-logo-watermark-tren-anh-bang-photoshop-cuc,P1,INLINE_IMAGES_TOO_HEAVY,132097,0,12,13,13,0,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external
1002402249,"Cấu hình chơi ZZZ - Zenless Zone Zero Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-zzz-zenless-zone-zero-tren-pc-laptop,P1,IMAGES_BROKEN,0,0,0,1,1,1,thay ảnh chết + gỡ/thay ảnh external
1002538930,Sửa Chữa Máy Tính Quận 7 - Dịch Vụ Uy Tín Nhanh Chóng,https://sintech.vn/blogs/huong-dan/sua-chua-may-tinh-quan-7-dich-vu-tan-noi-nhanh-chong,P1,HERO_IMAGE_TOO_HEAVY,594278,1,0,1,0,0,resize/nén hero + nén ảnh >300KB
1002704151,"ASUS ra mắt bộ PC Hatsune Miku ""full gear"": Từ linh kiện đến thời trang, waifu chính thức bước vào thế giới gaming",https://sintech.vn/blogs/news/asus-ra-mat-bo-pc-hatsune-miku-full-gear-tu-linh-kien-den-thoi-tran,P1,INLINE_IMAGES_TOO_HEAVY,175435,1,8,9,5,0,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external
1002745043,NPU là gì? Vì sao PC 2025 cần có NPU để chạy AI mượt mà hơn,https://sintech.vn/blogs/news/npu-la-gi-vi-sao-pc-2025-can-co-npu-de-chay-ai-muot-ma-hon,P1,HERO_IMAGE_TOO_HEAVY,372876,1,1,2,0,0,resize/nén hero + nén ảnh >300KB + clean HTML cũ
1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,P0,INLINE_IMAGES_TOO_HEAVY,199069,2,10,11,0,0,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold
