p0_rank_ref,article_id,title,task_type,detail,gsc_clicks,ga4_sessions
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),clean HTML legacy,"Gỡ inline-style/font/mso, dựng lại block sạch; GIỮ internal link + URL/title/handle",0,16
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),table responsive,1 bảng — wrap overflow-x cho mobile,0,16
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,clean HTML legacy,"Gỡ inline-style/font/mso, dựng lại block sạch; GIỮ internal link + URL/title/handle",0,13
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,table responsive,1 bảng — wrap overflow-x cho mobile,0,13
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",clean HTML legacy,"Gỡ inline-style/font/mso, dựng lại block sạch; GIỮ internal link + URL/title/handle",2,3
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",table responsive,4 bảng — wrap overflow-x cho mobile,2,3
6,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,clean HTML legacy,"Gỡ inline-style/font/mso, dựng lại block sạch; GIỮ internal link + URL/title/handle",0,9
6,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,table responsive,7 bảng — wrap overflow-x cho mobile,0,9
4,1002398567,"Trung tâm sửa PC uy tín, lấy ngay ở Quận 7",table responsive,4 bảng — wrap overflow-x cho mobile,3,4
5,1002717797,"Top 10 Thương Hiệu Linh Kiện Máy Tính Được Yêu Thích Nhất Tại Việt Nam: Game thủ, dân văn phòng, ai cũng mê!",review tay,Không lấy được body từ DB (bài reverse_copy_defense) — kiểm tra trực tiếp editor,3,2
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,clean HTML legacy,"Gỡ inline-style/font/mso, dựng lại block sạch; GIỮ internal link + URL/title/handle",0,3
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,giảm DOM,DOM ~1589 node — cắt markup thừa,0,3
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,table responsive,1 bảng — wrap overflow-x cho mobile,0,3
