p0_rank,article_id,title,url,owner,group,primary_issue,secondary_issue,body_source,live_hash,local_draft_id,local_draft_hash,image_count,image_tasks_actionable,auto_actions,manual_actions,html_safety,semantic_preserved,text_preserve,broken_after,tables_responsive,blocked_image,status
1,1002399773,"Cấu hình chơi CS2 - Counter Strike 2 trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-cs2-counter-strike-2-tren-pc-laptop,THEME_CODE,THEME_ONLY,CLS_LAYOUT_RISK,,original (không sửa),5a1052c4be441e33b44c1da0695deefb15ca5d8a5b1aecaa69c488dd2c26c6b4,,,0,0,,→ THEME_CODE handoff (xem blog_performance_p0_theme_handoff.csv),,,,,,,theme_only
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,CONTENT,AUTO_SAFE_CONTENT,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,original_body_html (live gốc),bd1f070b5186ebdc1067884fac7b845f74ffedd1adac2a0522426d518cc19aa3,520,2f783441ae413dbeb4587bb2209dd031103c1ee7774c4644bf72b44652255547,5,0,table responsive ×1; clean HTML legacy + sanitize; loading=lazy ×4 (giữ LCP×1),set width/height ảnh → image task (cần metadata),PASS,True,1.0,0,1,0,preview_ready
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,MIXED,AUTO_SAFE_CONTENT,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,original_body_html (live gốc),2333b0a1597cba3e25ec2d62b8d246ed8fb602ee4a863218d8d1f92de449da25,521,a9a03b0cdda12f27949b33be506f539699e4e79a0d05d93db113e593d1484d5a,5,1,table responsive ×1; clean HTML legacy + sanitize; loading=lazy ×4 (giữ LCP×1),1 ảnh nặng → resize (image task); set width/height ảnh → image task (cần metadata),PASS,True,1.0,0,1,0,preview_ready
4,1002398567,"Trung tâm sửa PC uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-pc-uy-tin-lay-ngay-o-quan-7,CONTENT,AUTO_SAFE_CONTENT,CLS_LAYOUT_RISK,,original_body_html (live gốc),c0141219d8391249448bb3c02390c93eda23f7e3047e2e42948daaac33d07728,522,b7b9c32613e226993d204112b61b0907681447252cd0c24e60952cb09a4b7383,0,0,table responsive ×4; clean HTML legacy + sanitize,set width/height ảnh → image task (cần metadata),PASS,True,0.9989,0,4,0,preview_ready
5,1002717797,"Top 10 Thương Hiệu Linh Kiện Máy Tính Được Yêu Thích Nhất Tại Việt Nam: Game thủ, dân văn phòng, ai cũng mê!",https://sintech.vn/blogs/news/top-10-thuong-hieu-linh-kien-may-tinh-duoc-yeu-thich-nhat-tai-viet-nam,CONTENT,MANUAL_REVIEW,NEED_MANUAL_REVIEW,CLS_LAYOUT_RISK,,0714020639fe70364406dc4d94dab3b79ec41ad5960a36f51d54bba82d5a250a,,,0,0,,Không lấy được body từ DB (bài reverse_copy_defense) — kiểm tra trực tiếp editor,,,,,,,manual_review
6,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,CONTENT,AUTO_SAFE_CONTENT,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,original_body_html (live gốc),c386540832b995d48e4da2360fb4b286abf9f0611bcf302ff366cb826c6234eb,523,726ebd69850ebdb97d4d1d2486a43479d82d2b870ceecad58da1431ef0311ee5,0,0,table responsive ×7; clean HTML legacy + sanitize,set width/height ảnh → image task (cần metadata),PASS,True,1.0,0,7,0,preview_ready
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,MIXED,AUTO_SAFE_CONTENT,IMAGES_BROKEN,BODY_HTML_LEGACY,original_body_html (live gốc),623298801e850822d0f75360f952e94eed97a7c7c45283f9e5ac4b77a3e87fa5,524,04bee034ef69b420668096adaf025bf75946381cbc3ee4bae56b2a5a6387a1e0,5,5,table responsive ×4; clean HTML legacy + sanitize; gỡ 1 ảnh chết; loading=lazy ×3 (giữ LCP×1),4 ảnh external/đối thủ → image task (re-host tay); set width/height ảnh → image task (cần metadata),PASS,True,1.0,0,4,4,blocked_image
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,THEME_CODE,THEME_ONLY,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,original (không sửa),c938b16af0581bd0fda8a510aa400b00ee86a084e0308a7f688cd88159443aea,,,5,5,,→ THEME_CODE handoff (xem blog_performance_p0_theme_handoff.csv),,,,,,,theme_only
9,1002414345,Cách khắc phục lỗi Command Prompt tự mở trên Windows,https://sintech.vn/blogs/news/cach-khac-phuc-loi-command-prompt-tu-mo-tren-windows,THEME_CODE,THEME_ONLY,CLS_LAYOUT_RISK,,original (không sửa),61a1a1875733daf156c8503a666febc711a01c331d7a0b1b8c04a37e7b288680,,,0,0,,→ THEME_CODE handoff (xem blog_performance_p0_theme_handoff.csv),,,,,,,theme_only
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,MIXED,AUTO_SAFE_CONTENT,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,original_body_html (live gốc),6b928a4a723a6d85697546b32ab3bd417b631ca6261234997375e60402f83cd9,525,713c47da2e3c3db03bc547527014d7b4269f4479c99b062005d9e738a040ff66,11,2,table responsive ×1; clean HTML legacy + sanitize; loading=lazy ×10 (giữ LCP×1),2 ảnh nặng → resize (image task); set width/height ảnh → image task (cần metadata),PASS,True,1.0,0,1,0,preview_ready
