p0_rank,article_id,article_title,article_url,img_index,role,image_url,is_external,bytes,width,height,issue,action,target
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,0,hero,https://cdn.hstatic.net/200000860097/file/19_975ae3dd7b8a46f481c5ccbc8bcbe94c_grande.png,no,160KB,,,ok,KEEP_LCP_NO_LAZY,1200×675 (hoặc 1200×628) · ưu tiên WebP · ≤180KB
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,1,inline,https://cdn.hstatic.net/200000860097/file/20_0eb644fba53940ca80fac1259e619c58_grande.png,no,174KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,2,inline,https://cdn.hstatic.net/200000860097/file/21_54f8c01a5daf4c5db4ef8f5722f5c15e_grande.png,no,65KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,3,inline,https://cdn.hstatic.net/200000860097/file/22_18eed5d708d34521a6951485cfa5cde9_grande.png,no,85KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,4,inline,https://cdn.hstatic.net/200000860097/file/23_7e1302f010874ff7bc6e1e7373aa0ef0_grande.png,no,148KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,0,hero,https://file.hstatic.net/200000860097/file/pc_bi_giat_dien_b585afa874254e6fbaceedd1e75e2baa_grande.png,no,360KB,,,heavy,RESIZE,1200×675 (hoặc 1200×628) · ưu tiên WebP · ≤180KB
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,1,inline,https://file.hstatic.net/200000860097/file/111_7ee6e6e10ba642b88a607ace294c7470_grande.png,no,289KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,2,inline,https://file.hstatic.net/200000860097/file/2222_9b593d15a4944cda982155cb9ea215ab_grande.png,no,211KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,3,inline,https://file.hstatic.net/200000860097/file/33333_228e7ea558104f83a5003cc6fae6b3ae_grande.png,no,136KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,4,inline,https://file.hstatic.net/200000860097/file/thiet_ke_chua_co_ten_5bb5629a0084449fabc945a38304a94b_grande.png,no,271KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,0,hero,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/header.jpg?t=1753974947,yes,55KB,,,ok,MANUAL_REPLACE,1200×675 (hoặc 1200×628) · ưu tiên WebP · ≤180KB
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,1,inline,https://cellphones.com.vn/sforum/wp-content/uploads/2023/01/gta-5-thumb.jpg,yes,96KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,2,inline,https://kamikey.com/wp-content/uploads/2024/12/gta-5-steam.jpg,yes,183KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
