rank,candidate_id,article_id,title,article_url,latest_draft_id,gsc_clicks_28d,ga4_organic_sessions_28d,total_images,dead_images,competitor_images,news_images,unknown_images,other_store_images,uncertain_images,gate_status,remediation_group,quick_win_score,recommended_next_action
1,21,1002758362,DLSS 4 là gì? Cách bật DLSS 4 trên card NVIDIA,https://sintech.vn/blogs/huong-dan/dlss-4-la-gi-cach-bat-dlss-4-tren-card-nvidia,23,1,0,8,0,0,0,0,0,0,ALLOW,SAFE_NOW,163.0,Sẵn sàng review + apply
2,50,1002358515,Microsoft kết thúc hỗ trợ Windows 11 21H2 và 22H2 sau 90 ngà,https://sintech.vn/blogs/news/microsoft-ket-thuc-ho-tro-windows-11-21h2-va-22h2-sau-90-ngay,490,0,0,2,1,0,0,0,0,0,ALLOW,SAFE_NOW,160.0,Sẵn sàng review + apply
3,55,1002398280,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX 3060,https://sintech.vn/blogs/news/nvidia-sap-ngung-san-xuat-card-do-hoa-geforce-rtx-3060,24,0,0,2,0,0,0,0,0,0,ALLOW,SAFE_NOW,160.0,Sẵn sàng review + apply
4,77,1002402249,"Cấu hình chơi ZZZ - Zenless Zone Zero Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-zzz-zenless-zone-zero-tren-pc-laptop,491,2,2,1,0,0,0,1,0,1,ALLOW,SAFE_NOW,156.6,Sẵn sàng review + apply
5,93,1002411087,Rò rỉ về Nvidia RTX 5080 khiến một số game thủ PC lo lắng rằ,https://sintech.vn/blogs/news/ro-ri-ve-nvidia-rtx-5080-khien-mot-so-game-thu-pc-lo-lang-rang-nvidia,455,0,0,2,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
6,117,1002413792,Vì sao Sony bị game thủ 'ném đá' dữ dội khi hé lộ PS5 Pro?,https://sintech.vn/blogs/news/vi-sao-sony-bi-game-thu-nem-da-du-doi-khi-he-lo-ps5-pro,503,0,0,1,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
7,120,1002413861,"Ra mắt iPhone mới, Apple vẫn phải đối mặt với nỗi sợ 'bán ế'",https://sintech.vn/blogs/news/ra-mat-iphone-moi-apple-van-phai-doi-mat-voi-noi-so-ban-e-tai-trung,464,0,0,1,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
8,121,1002413894,"Facebook, Instagram thu thập dữ liệu tất cả người dùng Austr",https://sintech.vn/blogs/news/facebook-instagram-thu-thap-du-lieu-tat-ca-nguoi-dung-australia-gom-c,504,0,0,1,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
9,122,1002413900,Google vừa cập nhật loạt tính năng hữu ích cho người dùng th,https://sintech.vn/blogs/news/google-vua-cap-nhat-loat-tinh-nang-huu-ich-cho-nguoi-dung-thich-mo-nhi,505,0,0,1,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
10,192,1002538817,Intel Được Đồn Đoán Sẽ Ra Mắt GPU Battlemage 24GB Bộ Nhớ Vào,https://sintech.vn/blogs/news/intel-duoc-don-doan-se-ra-mat-gpu-battlemage-24gb-bo-nho-vao-nam-2025,465,0,0,1,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
11,203,1002583958,AMD Thách Thức NVIDIA Grace & Intel Granite Rapids Với EPYC ,https://sintech.vn/blogs/news/amd-thach-thuc-nvidia-grace-intel-granite-rapids-voi-epyc-the-he-5-h,501,0,0,2,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
12,204,1002583974,"AMD Ưu Ái ASUS, XFX & PowerColor Trong Phân Phối RX 9070 Ser",https://sintech.vn/blogs/news/amd-uu-ai-asus-xfx-powercolor-trong-phan-phoi-rx-9070-series,466,0,0,2,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
13,214,1002693503,"IPhone Gập: Apple Đã Sẵn Sàng “Gấp Gọn” Thế Giới Của Bạn, Nh",https://sintech.vn/blogs/news/iphone-gap-apple-da-san-sang-gap-gon-the-gioi-cua-ban-nhung-ipad-g,269,0,0,2,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
14,215,1002694321,So sánh các AI: Grok “xuất sắc bất ngờ” nhưng Chat GPT vẫn l,https://sintech.vn/blogs/news/so-sanh-cac-ai-grok-xuat-sac-bat-ngo-nhung-chat-gpt-van-la-trum-cu,502,0,0,1,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
15,227,1002721462,Lưu mật khẩu trên trình duyệt web: Thói quen tiện lợi đang t,https://sintech.vn/blogs/news/luu-mat-khau-tren-trinh-duyet-web-thoi-quen-tien-loi-dang-tro-thanh,467,0,0,5,0,0,1,0,0,0,ALLOW,SAFE_NOW,155.0,Sẵn sàng review + apply
16,51,1002358519,Cấu hình tối thiểu chơi Liên Minh Huyền Thoại LOL mượt giá s,https://sintech.vn/blogs/news/cau-hinh-toi-thieu-choi-lien-minh-huyen-thoai-lol-muot-gia-sinh-vien,499,0,0,4,0,1,0,0,0,0,ALLOW,SAFE_NOW,154.0,Sẵn sàng review + apply
17,72,1002400132,"Cấu hình chơi Valorant Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-valorant-tren-pc-laptop,497,0,0,1,1,1,0,0,0,0,ALLOW,SAFE_NOW,154.0,Sẵn sàng review + apply
18,112,1002411585,Cảm biến Hero là gì? Liệu có phù hợp với nhu cầu chơi game c,https://sintech.vn/blogs/news/cam-bien-hero-la-gi-lieu-co-phu-hop-voi-nhu-cau-choi-game-cua-ban,29,0,0,1,0,0,0,1,0,0,ALLOW,SAFE_NOW,152.0,Sẵn sàng review + apply
19,209,1002600742,"AMD chuẩn bị ra mắt Radeon RX 9070 GRE với hiệu năng mạnh, g",https://sintech.vn/blogs/news/amd-chuan-bi-ra-mat-radeon-rx-9070-gre-voi-hieu-nang-manh-gia-canh-tr,440,1,1,2,0,0,2,0,0,0,ALLOW,SAFE_NOW,134.8,Sẵn sàng review + apply
20,211,1002601884,"Intel ra mắt CPU Core Ultra 300 (Panther Lake) năm 2026, sản",https://sintech.vn/blogs/news/intel-ra-mat-cpu-core-ultra-300-panther-lake-nam-2026-san-xuat-hang,439,1,1,2,0,0,2,0,0,0,ALLOW,SAFE_NOW,134.8,Sẵn sàng review + apply
