candidate_id,article_id,draft_id,title,claim,category,time_sensitive,source_required,status,note,gate_status,conflict_status,editorial_status
55,1002398280,24,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX ,RTX 3060 ra mắt 2/2021,release timing,stable,NVIDIA/hãng official,VERIFIED_STABLE,đúng,ALLOW,SAFE_TO_APPLY,FACT REVIEW FAIL (claim ngừng SX lỗi thời — Nvidia đưa lại 2026)
55,1002398280,24,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX ,12GB VRAM,VRAM,stable,NVIDIA/hãng official,VERIFIED_STABLE,đúng,ALLOW,SAFE_TO_APPLY,FACT REVIEW FAIL (claim ngừng SX lỗi thời — Nvidia đưa lại 2026)
55,1002398280,24,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX ,MSRP ~330 USD / 8.3 triệu lúc ra mắt,price,time-sensitive,NVIDIA/hãng official,VERIFY_WITH_OFFICIAL_SOURCE,tỷ giá/giá đổi,ALLOW,SAFE_TO_APPLY,FACT REVIEW FAIL (claim ngừng SX lỗi thời — Nvidia đưa lại 2026)
55,1002398280,24,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX ,RTX 4060 VRAM+bus thấp hơn RTX 3060,spec,stable,NVIDIA/hãng official,VERIFIED_STABLE,đúng (8GB/128bit vs 12GB/192bit),ALLOW,SAFE_TO_APPLY,FACT REVIEW FAIL (claim ngừng SX lỗi thời — Nvidia đưa lại 2026)
55,1002398280,24,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX ,Nvidia SẮP NGỪNG sản xuất RTX 3060,release timing,time-sensitive,NVIDIA/hãng official,REMOVE_UNSUPPORTED_CLAIM,🔴 LỖI THỜI: discontinued 8/2024 NHƯNG Nvidia ĐƯA TRỞ LẠI 6-7/2026 (WCCFtech/TechSpot). Bài ngược thực tế hiện tại.,ALLOW,SAFE_TO_APPLY,FACT REVIEW FAIL (claim ngừng SX lỗi thời — Nvidia đưa lại 2026)
26,1002767147,22,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3,RTX 3050/RX6600 8GB · RTX3060 12GB GDDR6,VRAM/memory,stable,NVIDIA/hãng official,VERIFIED_STABLE,đúng,ALLOW,SAFE_TO_APPLY,FACT REVIEW REQUIRED (bỏ số FPS unsupported + review giá)
26,1002767147,22,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3,DLSS/Reflex (NV) · NVENC · RX6600 raster,feature support,stable,NVIDIA/hãng official,VERIFIED_STABLE,đúng,ALLOW,SAFE_TO_APPLY,FACT REVIEW REQUIRED (bỏ số FPS unsupported + review giá)
26,1002767147,22,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3,Giá 5-7 triệu,price,time-sensitive,NVIDIA/hãng official,MANUAL_REVIEW,giá biến động,ALLOW,SAFE_TO_APPLY,FACT REVIEW REQUIRED (bỏ số FPS unsupported + review giá)
26,1002767147,22,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3,"Bảng FPS: RTX3050 LoL~190/CS2~130, RX6600>220, RTX3060>220...",benchmark,unsupported,NVIDIA/hãng official,REMOVE_UNSUPPORTED_CLAIM,"🟡 số FPS AI tự tạo, KHÔNG nguồn → bỏ hoặc thay bằng định tính",ALLOW,SAFE_TO_APPLY,FACT REVIEW REQUIRED (bỏ số FPS unsupported + review giá)
26,1002767147,22,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3,RX 6600 > RTX 3050 (raster),performance,stable,NVIDIA/hãng official,VERIFIED_STABLE,đúng,ALLOW,SAFE_TO_APPLY,FACT REVIEW REQUIRED (bỏ số FPS unsupported + review giá)
26,1002767147,22,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3,1080p 144Hz eSports OK cho cả 3,resolution,stable,NVIDIA/hãng official,VERIFY_WITH_OFFICIAL_SOURCE,hợp lý nhưng nên verify,ALLOW,SAFE_TO_APPLY,FACT REVIEW REQUIRED (bỏ số FPS unsupported + review giá)
