group,type,url,note,patch_applies
P0_applied,blog,https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,#2 ChatGPT · 5 img inline,YES (.article-content)
P0_applied,blog,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,#3 PC bị giật điện · hero 360KB + table,YES (.article-content)
P0_applied,blog,https://sintech.vn/blogs/news/trung-tam-sua-pc-uy-tin-lay-ngay-o-quan-7,"#4 Sửa PC Q7 · 4 table, 0 img",YES (.article-content)
P0_applied,blog,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,"#6 Thu mua máy cũ · 7 table, 0 img",YES (.article-content)
P0_applied,blog,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,#10 Test VGA · 11 img inline,YES (.article-content)
QA_blog,blog,https://sintech.vn/blogs/news/tim-hieu-ve-ep-xung-phuong-phap-tang-toc-do-va-suc-manh-cua-pc-co-tha,22 img,YES (.article-content)
QA_blog,blog,https://sintech.vn/blogs/news/lich-phat-phim-chieu-rap-thang-6-2026-dang-chu-y,20 img,YES (.article-content)
QA_blog,blog,https://sintech.vn/blogs/news/ifa-2024-co-gi-tai-gian-trung-bay-cua-samsung-do-gi-cung-tich-hop-a,19 img,YES (.article-content)
QA_blog,blog,https://sintech.vn/blogs/news/cau-hinh-choi-cs2-counter-strike-2-tren-pc-laptop,"0 img (CS2, 8clk)",YES (.article-content)
QA_blog,blog,https://sintech.vn/blogs/news/top-10-thuong-hieu-linh-kien-may-tinh-duoc-yeu-thich-nhat-tai-viet-nam,0 img,YES (.article-content)
QA_nonblog,product,https://sintech.vn/products/laptop-lenovo-v15-g5-irl-83hf00brva-15-6-inch-fhd-8-512gb,KHÔNG được ảnh hưởng,NO (chỉ .article-content blog)
QA_nonblog,collection,https://sintech.vn/collections/macbook-air,KHÔNG được ảnh hưởng,NO (chỉ .article-content blog)
QA_nonblog,homepage,https://sintech.vn,KHÔNG được ảnh hưởng,NO (chỉ .article-content blog)
