roadmap_id,internal_links_old
BLG-001,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC online tại Sintech"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-002,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""xây dựng cấu hình PC"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-003,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""tự build PC"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-004,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC gaming theo ngân sách"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""Build PC online"", ""target"": ""/blogs/huong-dan/build-pc-online-la-gi"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-005,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC 15 triệu"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-013,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""ssd cũ"", ""target"": ""/collections/ssd-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/ssd-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-006,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC 20 triệu"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-007,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC 30 triệu"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-008,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC 40 triệu"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-015,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""RTX 4060 cũ"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
