Module,Page name,Page route,HTTP,Template,Section,Node ID,UI type,Label,Frontend handler,Called endpoint,Backend handler,Backend file,Service/module,DB read,DB write,External API,AI provider,Prompt file,Rule file,Side effect,Confirm,Status,Risk,Confidence,Notes
dashboard,Dashboard,/,GET,dashboard.html,Command,DASH-CMD-PREVIEW-TODAY,button,👀 Preview hôm nay,data-cmd,/api/command/preview-today,api_command,posts.py,"db,fb_client",posts,,,,,,read-only,no,production,low,HIGH,
dashboard,Dashboard,/,GET,dashboard.html,WeekBoard,DASH-RESCHEDULE,drag-drop+modal,Kéo bài đổi lịch,drop+resch-save,/api/post/<id>/reschedule,api_post_reschedule,posts.py,db,posts,,,,,,write-local-DB,yes(modal),production,low,HIGH,
dashboard,Dashboard,/,GET,dashboard.html,Ops,DASH-HEALTH-REFRESH,button,🔄 health,loadJobs,/api/dashboard/health,api_dashboard_health,dashboard.py,many,ALL(R),,"Telegram,PSI,Git,AI",,,,read-only,no,production,low,HIGH,health probe
posts,Bài mới,/posts/new,GET/POST,post_form.html,Actions,POST-PUBLISH,button,🚀 Đăng ngay,btn-publish,/posts/<id>/publish,post_publish,posts.py,"fb_client,db",posts,posts,Facebook Graph,,,,write-external(FB) PUBLISH,yes,production,MED publish thật,HIGH,
posts,Bài mới,/posts/new,GET/POST,post_form.html,Actions,POST-SCHEDULE,button,⏰ Schedule FB native,btn-schedule,/posts/<id>/schedule,post_schedule,posts.py,"fb_client,db",posts,posts,Facebook Graph,,,,write-external(FB),yes,production,MED,HIGH,
posts,Bài mới,/posts/new,GET/POST,post_form.html,Actions,POST-SAVE,button,💾 Lưu,form submit,/posts/<id>/update,post_update,posts.py,"db,fileIO",posts,posts,,,,,write-local-DB+file,no,production,low,HIGH,
posts,Bài mới,/posts/new,GET/POST,post_form.html,Actions,POST-DELETE,button,🗑 Xóa,form submit,/posts/<id>/delete,post_delete,posts.py,db,posts,posts,,,,,write-local-DB destructive,yes,production,low,HIGH,
posts,Bài mới,/posts/new,GET/POST,post_form.html,Images,POST-IMG-REMOVE,button,× Xoá ảnh,img-del,/api/post/<id>/images/remove,api_post_images_remove,posts.py,db,posts,posts,,,,,write-local-DB+file,yes,production,low,HIGH,
posts,Bài mới,/posts/new,GET/POST,post_form.html,Library,POST-LIB-USE,button,+ Thêm vào bài,lib-add-selected,/api/library/use,api_library_use,posts.py,"db,fileIO",,posts,,,,,write-local file+DB,no,production,low,HIGH,
posts,Bài đã đăng,/posts,GET,posts.html,Bulk,POSTS-BULK-DELETE,button,🗑 Xoá đã chọn,bulk-delete,/api/posts/bulk,api_posts_bulk,posts.py,db,posts,posts,,,,,write-local-DB destructive,yes,production,low,HIGH,
posts,Bài đã đăng,/posts,GET,posts.html,Bulk,POSTS-BULK-STATUS,button,Áp dụng status,bulk-apply-status,/api/posts/bulk,api_posts_bulk,posts.py,db,posts,posts,,,,,write-local-DB,yes,production,low,HIGH,
content_product,Content Jobs,/content-jobs,GET,content_jobs_list.html,Header,CJ-PUSH-EMPTY,button,📤 Đẩy SP từ empty-desc,form submit,/content-jobs/push-from-empty-desc,content_jobs_push_from_empty_desc,content_product.py,"db,seo_mod",seo_pages,content_jobs,,,,,write-local-DB,yes,production,low,HIGH,
content_product,Content Jobs,/content-jobs,GET,content_jobs_list.html,Header,CJ-START-WORKER,button,🚀 Start worker,form submit,/content-jobs/queue/start-all,content_jobs_queue_start_all,content_product.py,content_writer(BG),content_jobs,content_jobs,,Codex/Claude,_SYSTEM_PROMPT(product)product_writer.py,seo_writing_rules.md,write-local-DB+BG job,yes,production,low,MEDIUM,
content_product,Content Jobs,/content-jobs,GET,content_jobs_list.html,Bulk,CJ-SYNC,button,🚀 SYNC tất cả tick,form submit,/content-jobs/sync,content_jobs_sync,content_product.py,"db,haravan_client",content_jobs,content_jobs,Haravan Admin,,,,write-external(Haravan),no,production,MED Haravan write,HIGH,
content_product,Content Job Detail,/content-jobs/<id>,GET,content_jobs_detail.html,Actions,CJ-GENERATE,button,📥 Gen lại,form submit,/content-jobs/<id>/generate,content_jobs_generate,content_product.py,content_writer,content_jobs,content_jobs,,Codex/Claude,product_writer.py,"seo_writing_rules.md,sintech_rules.py",write-local-DB,yes,production,low,MEDIUM,
content_product,Content Job Detail,/content-jobs/<id>,GET,content_jobs_detail.html,Actions,CJ-SPEC-BLOCK,button,📊 Tạo bảng thông số,form submit,/content-jobs/<id>/spec-block,content_jobs_spec_block,content_product.py,"content_writer,serper_search",content_jobs,content_jobs,"Serper,Haravan",Codex/Claude,,,write-local-DB,yes,production,low,MEDIUM,
content_product,Content Job Detail,/content-jobs/<id>,GET,content_jobs_detail.html,Actions,CJ-APPROVE,button,✅ Duyệt,form submit,/content-jobs/<id>/approve,content_jobs_approve,content_product.py,db,content_jobs,content_jobs,,,,,write-local-DB,yes,production,low,MEDIUM,
content_product,Content Job Detail,/content-jobs/<id>,GET,content_jobs_detail.html,Actions,CJ-DELETE,button,🗑️ Xoá job,form submit,/content-jobs/<id>/delete,content_jobs_delete,content_product.py,db,content_jobs,content_jobs,,,,,write-local-DB destructive,yes,production,low,MEDIUM,
content_product,Content Job Detail,/content-jobs/<id>,GET,content_jobs_detail.html,Editor,CJ-WYSIWYG,button-group,WYSIWYG toolbar (15 nút format),cjCmd/cjAlign/cjInsertLink,(client-side execCommand),-,-,-,,,,,,,client-side format,no,production,low,HIGH,B/I/U/H2/H3/list/link/color…
content_product,Content Job Detail,/content-jobs/<id>,GET,content_jobs_detail.html,Save,CJ-SAVE,button,💾 Lưu chỉnh sửa,form submit,/content-jobs/<id>/save,content_jobs_save,content_product.py,db,content_jobs,content_jobs,,,,,write-local-DB,no,production,low,MEDIUM,
content_collection,Collection Content,/collection-content,GET,collection_content.html,Header,COL-GEN-BG,button,🤖 Gen liên tục,genAllInline,/collection-content/gen-bg,collection_content_gen_bg,content_collection.py,collection_content_writer(BG),collection_jobs,collection_jobs,,Codex,_SYSTEM_PROMPT(collection)collection_content_writer.py,collection_writing_rules.md,write-local-DB+BG,no,production,low,HIGH,
content_collection,Collection Content,/collection-content,GET,collection_content.html,Header,COL-SYNC-ALL,button,🚀 Sync tất cả,form submit,/collection-content/sync-all,collection_content_sync_all,content_collection.py,haravan_client,collection_jobs,collection_jobs,Haravan Admin,,,,write-external(Haravan),yes,production,MED,HIGH,
content_collection,Collection Detail,/collection-content/<id>,GET,collection_content_detail.html,Actions,COL-SYNC,button,🚀 Sync 1,form submit,/collection-content/<id>/sync,collection_content_sync,content_collection.py,haravan_client,collection_jobs,collection_jobs,Haravan Admin,,,,write-external(Haravan),yes,production,MED,HIGH,
content_collection,Collection Detail,/collection-content/<id>,GET,collection_content_detail.html,Actions,COL-GEN-TITLEMETA,button,📝 Gen Title/Meta,-,/collection-content/<id>/gen-title-meta,collection_content_gen_title_meta,content_collection.py,collection_content_writer,collection_jobs,collection_jobs,,Codex,_TITLE_META_SYSTEM_PROMPT(collection),collection_writing_rules.md,write-local-DB,no,production,low,HIGH,
